,songs
44,"Yeah Turn the mic up I, I feel good, I walk alone But then I trip over myself, and I fall I, I stand up, and then I m okay But then you print some shit That makes me wanna scream So do what you want What you want with my body Do what you want Don t stop, let s party Do what you want What you want with my body Do what you want What you want with my body Write what you want Say what you want about me If you re wondering, know that I m not sorry Do what you want What you want with my body What you want with my body You can t have my heart, and You won t use my mind, but Do what you want with my body Do what you want with my body You can t stop my voice  cause You don t own my life, but Do what you want with my body Do what you want with my body Early morning, longer nights Tom Ford, private flights Crazy schedule, fast life I wouldn t trade it in  cause it s our life  Let s slow it down  I could be the drink in your cup I could be the green in your blunt Your pusher man, yeah, I got what you want You wanna escape all of the crazy shit You re the Marilyn, I m the president And I d love to hear you say, girl Do what I want Do what I want with your body Do what I want Do what I want with your body Back of the club, taking shots, getting naughty No invitations, it s a private party Do what I want Do what I want with your body Do what I want Do what I want with your body Yeah, we taking these haters, and we roughing  em up And we laying the club like we don t give a fuck You can t have my heart, and You won t use my mind, but Do what you want with my body Do what you want with my body You can t stop my voice  cause You don t own my life, but Do what you want with my body Do what you want with my body Sometimes I m scared, I suppose If you ever let me go I would fall apart If you break my heart So just take my body And don t stop the party You can t have my heart, and  help me now  You won t use my mind, but Do what you want with my body Do what you want with my body You can t stop my voice  cause You don t own my life, but Do what you want with my body Do what you want with my body Do what you want with me What you want with my body Do what you want with me What you want with my body  world  Do what you want with me What you want with my body Do what you want with me What you want with my body World, help me now What you want with my body Do what you want with my body Do what you want with my body What you want with my body  world  "
45,"I killed my former and Left her in the trunk on highway 10 Put the knife under the hood If you find it, send it straight to Hollywood Hahahaha, hahahaha, hahahaha Hahahaha, hahahaha, hahahaha Hahahaha, hahahaha, hahahaha Aura-ah-ah, aura-ah-ah Aura-ah-ah, aura-ah-ah Aura-ah-ah, aura-ah-ah I m not a wandering slave, I am a woman of choice My veil is protection for the gorgeousness of my face You want to pity me  cause was arranged one man to love But in the bedroom, the size of him s more than enough Do you wanna see me naked, lover? Do you wanna peek underneath the cover? Do you wanna see the girl who lives behind the aura? Behind the aura Do you wanna touch me, cosmic lover? Do you wanna peek underneath the cover? Do you wanna see the girl who lives behind the aura? Behind the aura, behind the aura, behind the aura, oh Enigma pop star is fun, she wear burqa for fashion It s not a statement as much as just a move of passion I may not walk on your street or shoot a gun on your soil I hear you screaming, is it because of pleasure or toil? Dance, sex, art, pop, tech Dance, sex, art, pop, tech Do you wanna see me naked, lover? Do you wanna peek underneath the cover? Do you wanna see the girl who lives behind the aura? Behind the aura Do you wanna touch me, cosmic lover? Do you wanna peek underneath the cover? Do you wanna see the girl who lives behind the aura? Behind the aura, behind the curtain, behind the burqa, oh ARTPOP "
46,"Want to I think I love you You got ripped jeans I m only 19 What do you wanna do? You got your cigarette I got my headset We re two of a kind You re spades and I m diamonds And you know that too Yeah you can see clearly That I am the one you want But I must admit that I m everything you re not Yeah I am red, you are blue I m old school and you re so new But I guess I could forgive you tonight When you re cold, I like to burn I cut lines, you wait you turn But I guess I could forgive you tonight Tonight, tonight, tonight Don t shoot My heart is on mute Our physical dream Is only skin deep How do you wanna groove? Bang Bang Should hear my gun ring You re mine, you re there You ll hear that I am all up inside your head Now I can see clearly That I am the one you want But I must admit that I m everything you re not Yeah I am red, you are blue I m old school and you re so new But I guess I could forgive you tonight When you re cold, I like to burn I cut lines, you wait your turn But I guess I could forgive you tonight Tonight, tonight, tonight You won t forget me when I m gone This feels so good, it can t be wrong I recommend a one night stand I know we re just friends But you re my kind of man Just for tonight Just for tonight Just for tonight Even though I m red, you are blue I m old school and you re so new I know we could be great for tonight When you re cold, I ll make it burn You ll never have to wait your turn Yeah I guess I could forgive you tonight Yeah I am red, you are blue I m old school and you re so new But I guess I could forgive you tonight When you re cold, I like to burn I cut lines, you wait your turn But I guess I could forgive you tonight Tonight, tonight, tonight "
47,"That s M O N E Y, so sexy, I Damn, I love the Jag, the jet and the mansion Oh yeah And I enjoy the gifts and trips to the islands Oh yeah It s good to live expensive you know it But my knees get weak, intensive When you give me k-kisses That s money, honey When I m your lover and your mistress That s money, honey When you touch me it s so delicious That s money, honey Baby, when you tear me to pieces That s money, honey That s M O N E Y, so sexy, I That s money, honey Damn, I d love a boat by the beach on the west coast Oh yeah And I d enjoy some fine champagne while my girls toast Oh yeah It s good to live expensive you know it But my knees get weak, intensive When you give me k-kisses That s money, honey When I m your lover and your mistress That s money, honey When you touch me it s so delicious That s money, honey Baby, when you tear me to pieces That s money, honey You know I appreciate the finer things But it s not what makes me happiest, baby  I can do without it, babe  Your tender loving s more than I can handle Never burn out this candle, baby, baby K-k-kisses That s money, honey When I m your lover and your mistress That s money, honey When you touch me it s so delicious That s money, honey Baby, when you tear me to pieces That s money, honey When you give me k-kisses That s money, honey When I m your lover and your mistress That s money, honey When you touch me it s so delicious That s money, honey Baby, when you tear me to pieces That s money, honey When you give me k-kisses That s money, honey When I m your lover and your mistress That s money, honey When you touch me it s so delicious That s money, honey Baby, when you tear me to pieces That s money, honey That s M O N E Y, so sexy, I "
48,"Everybody s got to love each other Stop throwing stones at your sisters and your brothers Man, it wasn t that long ago we were all living in the jungle So, why do we gotta put each other down When there s more than enough love to g-g-go around? Come to mama Tell me who hurt ya There s gonna be no future If we don t figure this out Dude in a lab coat, and a man of God  Come onto mama, come onto mama  Fought over prisms and a forty-day flood  Come onto mama, come onto mama  Well, I say rainbows did more than they ve ever done So, why do we gotta fight over ideas? We re talking the same old shit after all of these years Come to mama Tell me who hurt ya There s gonna be no future If we don t figure this out Oh, come tomorrow Who are you gonna follow? There s gonna be no future If we don t figure this out Psychic guru catches minnows in the harbor  Come onto mama, come onto mama  Everyone tells him he should work a little harder  Hey, man, get to work, catch  em  They all tell you that freedom must be bought But, baby, he s already caught  em So, why do we gotta tell each other how to live? The only prisons that exist are ones we put each other in Come to mama Tell me who hurt ya There s gonna be no future If we don t figure this out Oh, come tomorrow Who are you gonna follow? There s gonna be no future If we don t figure this out Come to mama, come onto me Whoa, oh, oh-oh, oh-oh, oh Come onto mama, come onto mama Come onto mama  Cause I wanna be there I wanna be there for you I wanna be there Why do we gotta tell each other how to live? The only prisons that exist are ones we put each other in Why do we gotta tell each other how to live? Look what that rainbow did "
49,"Greetings, Himeros God of sexual desire, son of Aphrodite Lay back, and feast as this audio guides you Through new and exciting positions I wanna be the girl under you I wanna be your G.U.Y. Oh yeah, I wanna be the grave unearth you Our sex doesn t tell us no lies I m gonna wear the tie Want the power to leave you I m aiming for full control of this love  of this love  Touch me, touch me, don t be sweet Love me, love me, please retweet Let me be the girl under you that makes you cry I wanna be that GUY  G.U.Y.  I wanna be that GUY  G.U.Y.  I wanna be that GUY  G.U.Y.  The girl under you, GUY I m gonna say the word and own you You ll be my G.I.R.L ""Guy I m Romancing Loves"" to hold you Know you ll wear my make-up well I m gonna wear the tie Want the power to leave you I m aiming for full control of this love  of this love  Touch me, touch me, don t be sweet Love me, love me, please retweet Let me be the girl under you that makes you cry I wanna be that GUY  G.U.Y.  I wanna be that GUY  G.U.Y.  I wanna be that GUY  G.U.Y.  The girl under you, GUY I don t need to be on top to know I m worth it  Cause I m strong enough to know the truth I just want it to be hot Because I m best when I m in love And I m in love with you Touch me, touch me  Mount your goddess  Touch me, touch me  As summer moon comes into full phase  Get on top of me  And Mars  warring spirit rams into the atmosphere  Touch me, touch me, don t be shy I m in charge like a G.U.Y. I ll lay down face up this time Under you like a G.U.Y. I wanna be that GUY  G.U.Y.  I wanna be that GUY  G.U.Y.  I wanna be that GUY  G.U.Y.  The girl under you, GUY I wanna be that GUY  G.U.Y.  I ll wreck you right up, GUY  G.U.Y.  I ll lie down face up, GUY  G.U.Y.   achtzehn  The girl under you,  sechzehn  GUY Fourteen, vierzehn, drei, eins Nein, Zedd! Nein, Zedd! Nein, Zedd! Nein, Zedd! "
50,"Hey girl, can you hear me? Are you holding out your heart? Hey girl, do you feel me? Sometimes I go too far Hey girl, it ain t easy, I know it s pulling me apart But, darling, don t you leave me, baby, don t you leave me Hey girl, hey girl, we can make it easy if we lift each other Hey girl, hey girl, we don t need to keep on one-in  up another Hey girl, hey girl, hey girl, hey girl If you lose your way, just know that I got you Just know that I got you Lady, is it lonely? I been calling out your name Tell me that you need me,  cause I need you just the same Every day a heartache, I m just trying to keep it sane But I know you believe me, baby, don t you leave me Hey girl, hey girl, we can make it easy if we lift each other Hey girl, hey girl, we don t need to keep on one-in  up another Hey girl, hey girl, hey girl, hey girl If you lose your way, just know that I got you Help me, hold my hair back Walk me home,  cause I can t find a cab And we dance down the Bowery Held hands like we were 17 again And then it s 4 a.m., the sun is creeping up again Don t you leave me, oh, darling, don t you leave me Hey girl, hey girl, we can make it easy if we lift each other Hey girl, hey girl, we don t need to keep on one-in  up another Hey girl, hey girl, hey girl, hey girl If you lose your way, just know that I got you Just know that, just know that I got you Just know that, just know that, just know that Help me, hold my hair back Walk me home,  cause I can t find a cab And we dance down the Bowery Held hands like we were 17 again "
51,"Boy, we ve had a real good time and I wish you the best on your way, eh eh I didn t mean to hurt you I never thought we d fall out of place, eh, hey I have something that I love long-long But my friends keep on telling me that something s wrong And, eh, there s nothing else I can say  Eh, eh  There s nothing else I can say  Eh, eh  I wish he never looked at me that way  Eh, eh  There s nothing else I can say  Eh, eh  Not that I don t care about you Just that things got so complicate-eh I met somebody cute and funny Got each other and that s funny, eh, eh, heh I have something that I love long-long But my friends keep on telling me that something s wrong Then I met someone And, eh, there s nothing else I can say  Eh   Eh  I have something that I love long-long But my friends keep on telling me that something s wrong Then I met someone And, eh, there s nothing else I can say  Eh, eh   Eh, eh, eh  There s nothing else I can say  Eh, eh  Wish he d never looked at me that way  Eh, eh, oh, yeah  There s nothing else I can say  Eh, eh   eh, eh  Wish he d never looked at me that way  Eh, eh   eh, eh  There s nothing else I can say  Eh, eh   eh, eh  All I can say is eh, eh "
52,"We can be strong, We can be strong, Out on this lonely road It s on the road to love We can be strong, We can be strong, Follow that unicorn On the road to love Run, run with her t- Run, run with her t- Run, run with her t- Run, run with her t- Run, run with her t- Run, run with her t- Run, run with her t- Run, run with her top down, Baby she flies Run, run with the fury of a Saint in her eyes Run, run, cha, cha, cha Baby she goes With blond hair and a gun, Smoking under her toes Whoa, oh, oh, oh, oh, oh, Whoa, oh, oh, oh, oh, oh, oh Ride, ride, pony, ride, ride Whoa, oh, oh, oh, oh, oh, Whoa, oh, oh, oh, oh, oh, oh Ride, ride, pony, tonight We can be strong, We can be strong, Out on this lonely road, On the road to love We can be strong, We can be strong, Follow that unicorn, On the road to love I m on whoa, oh oh whoa I m on the road to love I m on whoa, oh oh whoa I m on the road to love She s just an American, Riding a dream When she s got a rainbow syrup And her heart that she bleeds They don t care if your papers Or your love is the law She s a, free soul, burning roads With a flag in her bra Whoa, oh, oh, oh, oh, oh, Whoa, oh, oh, oh, oh, oh, oh Ride, ride, pony, ride, ride Whoa, oh, oh, oh, oh, oh, Whoa, oh, oh, oh, oh, oh, oh Ride, ride, pony, tonight We can be strong, We can be strong, Out on this lonely road On the road to love We can be strong, We can be strong, Follow that unicorn On the road to love I m on whoa, oh oh whoa I m on the road to love I m on whoa, oh oh whoa I m on the road to love Get your hot rods ready to rumble  Cause we re gonna fall in love tonight Get your hot rods ready to rumble Cause we re gonna drink until we die Get your hot rods ready to rumble  Cause we re gonna fall in love tonight Get your hot rods ready to rumble Cause we re gonna drink until we die Die "
53,"Tap down those boots while I beat around Let s funk downtown Tap down those boots while I beat around Funk me downtown I lay around, touch myself to pass the time I feel down, I wish you were mine I close my eyes, take a breath and I picture us In a place I can t recognize In the fire I call your name out Up all night trying to rub the pain out I m singing Baby, don t cry, baby, don t cry Dancin  in circles, feels good to be lonely Baby, don t cry, baby, don t cry I m singing, dancin  in circles, feels good to be lonely Tap down those boots while I beat around Let s funk downtown Tap down those boots while I beat around Funk me downtown I fool myself, swirl around as if I m someone else Your hands are mine I do a trick, pretend that I am you until it clicks I come alive, come alive In the fire I call your name out Up all night trying to rub the pain out I m singing Baby, don t cry, baby, don t cry Dancin  in circles, feels good to be lonely Baby, don t cry, baby, don t cry I m singing, dancin  in circles, feels good to be lonely Tap down those boots while I beat around Let s funk downtown Tap down those boots while I beat around Funk me downtown Tap down those boots while I beat around Let s funk downtown Tap down those boots while I beat around Funk me downtown Hurts inside, but not this time All the things that are on my mind Vanish as I touch myself Call out loud for you Oh, can you hear me singing? Baby, don t cry, baby, don t cry Dancin  in circles, feels good to be lonely Baby, don t cry, baby, don t cry I m singing, dancin  in circles, feels good to be lonely Tap down those boots while I beat around Let s funk downtown Tap down those boots while I beat around Funk me downtown Tap down those boots while I beat around Let s funk downtown Tap down those boots while I beat around Funk me downtown "
54,"Red one lady gaga haha baby baby baby baby i anit gonna runaway runaway run run run run away Feel the adrenaline moving under my skin It s an addiction such an eruption Sound is my remedy feeding me energy Music is all I need. Baby, I just wanna dance I don t really care I just wanna dance I don t really care... care... care  feel it in the air... yeah  [Chorus] She s being a crazy dita disco diva... and you wonder: ""Who s that chick? who s that chick?"" Too cold for you to keep her Too hot for you to leave her Who s that chick? who s that chick? Who s that chick? who s that chick? Who s that chick? who s that chick? Back on the dancefloor better not to take me home Bass kicking so hot blazing through my beating heart French kissing on the floor, heart is beating hardcore Heard everybody is getting a little sexy on the crazy juice This will end up in the news Baby, I just wanna dance I don t really care I just wanna dance I don t really care... care... care  feel it in the air... yeah [Chorus] She s a mean and crazy dita disco diva... and you wonder: ""Who s that chick? who s that chick?"" Too cold for you to keep her Too hot for you to leave her Who s that chick? who s that chick? Who s that chick? who s that chick? Who s that chick? who s that chick? Ultra sexual, the night has got me love sprung I won t stop until the sun is up oh yeah My heart is a dancer beating like a disco drum oh oh uh oh Ultra sexual, the night has got me love sprung I won t stop until the sun is up oh yeah My heart is a dancer beating like a disco drum Beating like a disco drum... beating like a disco drum... [Chorus] She s a mean and crazy dita disco diva... and you wonder: ""Who s that chick? who s that chick?"" Too cold for you to keep her Too hot for you to leave her Who s that chick? who s that chick? Who s that chick? who s that chick? Na-na-na, come on Na-na-na, come on Na-na-na, na-na come on Na-na-na, come on, come on Come on, Na-na-na-na come on Na-na-na, come on Na-na-na, na-na, come on Na-na-na, come on, come on Come on, Na-na-na-na Feels so good being bad There s no way I m turning back Now the pain is for pleasure,  cause nothing can measure Love is great, love is fine Out the box, out of line The affliction of the feeling leaves me wanting more. -chorus-  Cause I may be bad, but I m perfectly good at it Sex in the air, I don t care, I love the smell of it Stickss and stones may break my bones, But chains and whips excite me. -chorus- -chorus-  Cause I may be bad, but I m perfectly good at it Sex in the air, I don t care, I love the smell of it Stickss and stones may break my bones, But chains and whips excite me. -chorus- Na-na-na come on, come on Come on, I like it, like it Come on, come on, come on I like it, like it [Na-na-na] come on Come on, I like it, like it Come on, come on, come on I like it, like it. Love is great, love is fine Out the box, out of line The affliction of the feeling leaves me wanting more, oh-uhh. -Chorus, 1x- Na-na-na come on, come on Come on, I like it, like it Come on, come on, come on I like it, like it [Na-na-na] come on Come on, I like it, like it Come on, come on, come on I like it, like it. S, S, S & M, M, M S, S, S & M, M, M Oh, I love the feeling you bring to me Oh, you turn me on It s exactly what I ve been yearning for Give it to me strong And meet me in my boudoir Give my body some AHH, AHH, AHHHH, I like it, like it -Chorus, 2x- Na-na-na come on, come on Come on, I like it, like it Come on, come on, come on I like it, like it [Na-na-na] come on Come on, I like it, like it Come on, come on, come on I like it, like it. S, S, S & M, M, M S, S, S & M, M, M S, S, S & M, M, M S, S, S & M, M, M Who s that chick? who s that chick? "
55,"Nowhere, Yeah we re going nowhere- fast. Maybe this time I ll be yours you ll be mine. C-c-c-crazy! Ah-Get your ass in my bed! Baby you ll be, just my summer boyfriend  summerboy  Lets get lost you can take me home Somewhere nice we can be alone Bikini tops, coming off Don t be sad when the sun goes down You ll wake up and I m not around I ve got to go, oh, oh, oh, oh, oh We ll still have the summer after all Sometimes, you might start a fight. But I m happy pretending we re alright  alright  Sun glasses cover up my green eyes My martini glistens, yeah While checking out other guys  summerboy  Lets get lost you can take me home Somewhere nice we can be alone Bikini tops, coming off Don t be sad when the sun goes down You ll wake up and I m not around I ve got to go, oh, oh, oh, oh, oh We ll still have the summer after all Hey there summerboy Let s go for a drive Take me for a ride Never gonna close our eyes Hey there summerboy I m a busy girl Don t got too much time Hurry up before I change my mind Hey there summerboy I m taking off my heels Let s go for a run Have a little summer fun Have a little summer fun  summerboy  Lets get lost you can take me home Somewhere nice we can be alone Bikini tops, poppin  off Don t be sad when the sun goes down You ll wake up and I m not around You ve got to go, oh, oh, oh, oh, oh We ll still have the summer after- Lets get lost you can take me home Somewhere nice we can be alone I ve got my summer-summerboy Don t be sad when the sun goes down You ll wake up and I m not around I ve got my summer-summerboy And we ll still have the summer after all I ve got my I ve got my I ve got my summer summerboy "
56,"Your love is nothing I can t fight Can t sleep with the man who dims my shine I m in the bedroom with tissues, and when I know you re outside banging, then I won t let you in  Cause it s a hard life with love in the world And I m a hard girl, loving me is like chewing on pearls You ve got me wondering why I I like it rough, I, I like it rough, I, I like it rough You ve got me wondering why I I like it rough, I, I like it rough, I, I like it rough Won t go without my fix tonight It s a little too rough Prom girl wipes her tears with silver lines And she can t get enough I m in the bedroom with tissues, and when I know you re outside banging, then I won t let you in  Cause it s a hard life with love in the world And I m a hard girl, loving me is like straightening curls You ve got me wondering why I I like it rough, I, I like it rough, I, I like it rough You ve got me wondering why I I like it rough, I, I like it rough, I, I like it rough I m shiny and I know it Don t know why you wanna blow it Need a man who likes it rough, likes it rough Likes it rough  baby, likes it rough  I m shiny and I know it Don t know why you wanna blow it Need a man who likes it rough, likes it rough Likes it rough  baby, likes it rough   I m shiny and...  Is it  cause you don t mean it? Or because I don t feel it? Unless it s rough  baby, likes it rough   I m shiny and...  Is it  cause you don t mean it? Or because I don t feel it? Unless it s rough You ve got me wondering why I I like it rough, I, I like it rough, I, I like it rough You ve got me wondering why I I like it rough, I, I like it rough, I, I like it rough You ve got me wondering why I I like it rough, I, I like it rough, I, I like it rough You ve got me wondering why I I like it rough, I, I like it rough, I, I like it rough "
57,"Don t be girl Don t be burnt Don t be my glamour zombie We dance, and we show And baby doll, I ll be the prison Don t be girl Don t be burnt Don t be my glamour zombie I love you, I love us I love this planet zombie Love don t promise Boy, d you still miss me? Love don t promise Boy, d you still miss me? Love don t promise Boy, d you still miss me? Love don t mind I just can t stand it now Don t be girl Don t be burnt Don t be my glamour zombie We dance, and we show And baby doll, I ll be the prison Don t be girl Don t be burnt Don t be my glamour zombie I love you, I love us I love this planet zombie Don t be girl Don t be burnt Don t be my glamour zombie We dance, and we show And baby doll, I ll be the prison Don t be girl Don t be burnt Don t be my glamour zombie I love you, I love us I love this planet zombie Love don t promise Boy, d you still miss me? Love don t promise Boy, d you still miss me? Love don t promise Boy, d you still miss me? Love don t mind I just can t stand it now. Fashion, love, sex, money, fame, art, pornography, death Fashion, love, sex, money, fame, art, pornography, death House music, new york city house music, new york, respect House music, new york city house music, new york, respect Love don t promise Boy, d you still miss me? Love don t promise Boy, d you still miss me? Love don t promise Boy, d you still miss me? Love don t mind I just can t stand it now Love don t promise Boy, d you still miss me? Love don t promise Boy, d you still miss me? Love don t promise Boy, d you still miss me? Love don t mind I just can t stand it now. "
58,"Young, wild, American Looking to be something Out of school go-go n For a hundred or two Some asshole broke me in Wrecked all my innocence I ll just keep go-go n And this dance is on you One, five, ten, lay a million on me Before the end of this song Young, wild, American C mon, baby, do you have a girlfriend? Rain on me a million I m not flawless, but I got a diamond heart Oh, I I might not be flawless But you know I got a diamond heart Oh, I I might not be flawless But you know I got a diamond heart Young, wild, American Head full of Jameson Girl s playing bad  cause it doesn t pay to be good A cruel king made me tough Daddy s girl s never good enough I ll just keep go-go n  Cause this dance is on you One, five, ten, lay a million on me Before the end of this song Young, wild, American C mon, baby, do you have a girlfriend? Rain on me a million I m not flawless, but I got a diamond heart Oh, I I might not be flawless But you know I got a diamond heart Oh, I I might not be flawless But you know I got a diamond heart Good thing I know what I m worth Want a good thing, put the money down first Better get a good look, baby  Cause soon I m breaking out of here Young, wild, American C mon, baby, do you have a girlfriend? Rain on me a million I m not flawless, but I got a diamond heart Oh, I I might not be flawless But you know I got a diamond heart Oh, I I might not be flawless But you know I got a diamond heart Diamond heart "
59,"Let s have some fun, this beat is sick I wanna take a ride on your disco stick Let s have some fun, this beat is sick I wanna take a ride on your disco stick Huh! I wanna kiss you But if I do then I might miss you, babe It s complicated and stupid Got my ass squeezed by sexy Cupid Guess he wants to play, wants to play A love game, a love game Hold me and love me Just wanna touch you for a minute Maybe three seconds is enough for my heart to quit Let s have some fun, this beat is sick I wanna take a ride on your disco stick Don t think too much just bust that kick I wanna take a ride on your disco stick Let s play a love game, play a love game Do you want love or you want fame Are you in the game? Dans, the love game Let s play a love game, play a love game Do you want love or you want fame Are you in the game? Dans, the love game I m on a mission And it involves some heavy touching, yeah You ve indicated your interest I m educated in sex, yes And now I want it bad, want it bad A love game, a love game Hold me and love me Just wanna touch you for a minute Maybe three seconds is enough for my heart to quit Let s have some fun, this beat is sick I wanna take a ride on your disco stick Don t think too much just bust that kick I wanna take a ride on your disco stick Let s play a love game, play a love game Do you want love or you want fame Are you in the game? Dans, the love game Let s play a love game, play a love game Do you want love or you want fame Are you in the game? Dans, the love game I can see you staring there from across the block With a smile on your mouth and your hand on your...  huh!  The story of us, it always starts the same With a boy and a girl and a...  huh!  and a game  and a game, and a game, and a game  A love game Let s play a love game, play a love game Do you want love or you want fame Are you in the game? Dans, the love game Let s play a love game, play a love game Do you want love or you want fame Are you in the game? Dans, the love game Let s play a love game, play a love game Do you want love, or you want fame Are you in the game? Dans, the love game Let s play a love game, play a love game Do you want love or you want fame Are you in the game? Dans, the love game "
60,"I was 23 She was 35 I was spiraling out And she was so alive A Texas girl real strong Taught me this drunk song So when I start to ball She says, ""Let your teardrops fall"" On the Pinot Pinot Grigio girls Pour your heart out Watch your blues turn gold All the Pinot Pinot Grigio girls Keep it real cold  Cause it s a fired up world Ooh-oh-ooh-oh Make it all make sense Ooh-oh-ooh-oh Does it all make sense? Ooh-oh-ooh-oh Make it all make sense Sisters never pack up We always run back, love Seven years ago I said you d make it Sonja was Joanne s friend Tough girls on the mend So when I m feeling small I toss that cork and call On the Pinot Pinot Grigio girls Pour your heart out Watch your blues turn gold All the Pinot Pinot Grigio girls Keep it real cold  Cause it s a fired up world Ooh-oh-ooh-oh Make it all make sense Ooh-oh-ooh-oh Make it all make sense Ooh-oh-ooh-oh Does it all make sense? So, we ll turn on a bachelorette Dye Ashley s hair red And then we ll have our sixth Spice girl in this bitch On the Pinot Pinot Grigio girls Pour your heart out Watch your blues turn gold All the Pinot Pinot Grigio girls Keep it real cold  Cause it s a fired up world All the Pinot Pinot Grigio girls Gather  round now Watch your blues turn gold All the Pinot Pinot Grigio girls Keep it real cold  Cause it s a fired up world "
61,"Here we go I can t wait to smoke them all Whole pack like Marlboro Blow it in your face, blow it in your face Blow it in your, blow it in your face I can t wait to rev you up Faster than you can say ""Ferrari"" Tearing up the gravel, watch you unravel Now it s a party Hey, I can t wait to cast my spell Which one, you ll never tell  Cause I got it covered, city gravy southern Got you dripping like no other Get off on me, my body s got you pleadin  Light me up and breathe in Mirror on the ceilin  Off on me, my body s got you pleadin  Light me up and breathe in Mirror on the ceilin  A-YO, A-YO We smokin   em all A-YO, A-YO We smokin   em all A-YO, A-YO We smokin   em all A-YO, A-YO I can t wait to blaze for real Track burns like a road rail Spin it in your face, spin it in your face Play it in your, play it in your face Can t wait to get you shook up Faster than you can try to hate it You can try to hate it, you can try to fake it But, baby, I laced it Get off on me, my body s got you pleadin  Light me up and breathe in Mirror on the ceilin  Off on me, my body s got you pleadin  Light me up and breathe in Mirror on the ceilin  A-YO, A-YO Mirror on the ceilin   we smokin   em all  A-YO, A-YO Mirror on the ceilin   we smokin   em all  A-YO, A-YO Mirror on the ceilin   we smokin   em all  A-YO, A-YO A-YO! A-YO, YO, A-YO A-YO, A-YO We smokin   em all A-YO, A-YO We smokin   em all Get it da get it da get it Get off on me, my body s got you pleadin  Light me up and breathe in Mirror on the ceilin  Off on me, my body s got you pleadin  Light me up and breathe in Mirror on the ceilin  A-YO, A-YO Mirror on the ceilin   we smokin   em all  A-YO, A-YO Mirror on the ceilin   we smokin   em all  A-YO, A-YO Mirror on the ceilin   we smokin   em all  A-YO, A-YO Mirror on the ceilin  A-YO, A-YO We smokin   em all A-YO, A-YO A-YO A-YO A-YO, A-YO We smokin   em all A-YO, A-YO Hey YO! "
62,"Midnight rush, with a pen in my hand Dinkin Lincoln, sand-script with a fan Remembering me, before we began Sometimes I felt so Def in the Jam But the ones who loved me, told me to stop Like home girl can t catch shit if it drops A superwoman chick, you know that I am Some shit don t fly by me in a man  Cause I do not accept any less Than someone just as real, as fabulous Don t want no paper gangsta Won t sign away my life to Someone whose got the flavor But don t have no follow through Don t want no paper gangsta Won t sign no monkey papers I don t do funny business Not interested in fakers Don t want no paper gangsta, oh oh Don t want no paper gangsta, oh oh Don t want no paper gangsta Don t want no paper gangsta Got something really shiny to start Want me to sign there on your Range Rover heart? I ve heard it before Yeah, the dinners were nice Till your diamond words melted into some ice You should be rapping to the beat of my song Mr. California, paper gangsta raw I m looking for love, not an empty page Full of stuff that means nothing but You ve been played  Cause I do not accept any less Than someone just as real, as fabulous Don t want no paper gangsta Won t sign away my life to Someone whose got the flavor But don t have no follow through Don t want no paper gangsta Won t sign no monkey papers I don t do funny business Not interested in fakers Don t want no paper gangsta, oh oh Don t want no paper gangsta, oh oh Don t want no paper gangsta Don t want no paper gangsta Don t want no paper gangsta Won t sign away my life to Someone whose got the flavor But don t have no follow through Don t want no paper gangsta Won t sign no monkey papers I don t do funny business Not interested in fakers Don t want no paper gangsta, oh oh Don t want no paper gangsta, oh oh Don t want no paper gangsta Don t want no paper gangsta "
63," We re gonna grab the mics and get  em off the walls so everybody in here can stop snorin    We re gonna grab the mics and get  em off the walls so everybody in here can stop snorin    We re gonna grab the mics and get  em off the walls so everybody in here can stop snorin   Let s get into trouble Lots of trouble Rock star You know how to rock hard Hello midnight lover, lover Hold that lady tighter Shoot that bullet through her My heart beats just like a cherry soda In the summer Go, go, go, don t be difficult about it Get off it Off the wall  get your ass  Off the wall  throw that girl  Against the wall Retro physical Off the walls  get your ass  Off the walls  work that boy  So sexual Retro physical Let s get down to business Funny business In the middle of the night he Starts to get feisty Don t forget your money, little honey We re all killers and blonde bunnies They dance for money My heart beats just like a cherry soda In the summer Go, go, go, don t be difficult about it Get off it Off the wall  get your ass  Off the wall  throw that girl  Against the wall Retro physical Off the walls  get your ass  Off the walls  work that boy  So sexual Retro physical Everyone is famous Running  round real aimlessly We dance, we re the garage team In between the spaces Happiness can trace us down We re not gonna leave this town In between the spaces Happiness can trace us down We re not gonna leave this town  We re gonna grab the mics and get  em off the walls so everybody in here can stop snorin    We gonna grab the mics and get  em off the walls so everybody in here can stop snorin   Off the wall  get your ass  Off the wall  throw that girl  Against the wall Retro physical Off the walls  get your ass  Off the walls  work that boy  So sexual Retro physical Off the wall  get your ass  Off the wall  throw that girl  Against the wall Retro physical Off the walls  get your ass  Off the walls  work that boy  So sexual Retro physical Off the wall  get your ass  Off the wall  throw that girl  Against the wall Retro physical Off the walls  get your ass  Off the walls  work that boy  So sexual Retro physical Off the wall  get your ass  Off the wall  throw that girl  Against the wall Retro physical Off the walls  get your ass  Off the walls  work that boy  So sexual Retro physical "
